Date,Close,High,Low,Open,Volume
2024-07-24,25309.05078125,25370.099609375,25193.05078125,25305.80078125,419400
2024-07-25,25627.349609375,25640.400390625,25147.349609375,25210.69921875,768600
2024-07-26,26250.69921875,26289.349609375,25601.69921875,25759.25,898300
2024-07-29,26426.55078125,26460.650390625,26261.80078125,26382.30078125,686900
2024-07-30,26580.94921875,26757.900390625,26386.099609375,26468.849609375,556000
2024-07-31,26685.25,26800.69921875,26516.349609375,26675.599609375,426800
2024-08-01,26487.44921875,26934.05078125,26357.44921875,26900.94921875,523000
2024-08-02,25714.44921875,26192.80078125,25678.349609375,26192.80078125,546600
2024-08-05,24706.5,25150.5,24509.25,25056.05078125,1453200
2024-08-06,24520.05078125,25309.19921875,24464.5,24909.05078125,809800
2024-08-07,24937.599609375,25028.19921875,24789.849609375,25001.5,458900
2024-08-08,24917.349609375,25111.150390625,24785.05078125,24947.80078125,530000
2024-08-09,25346.650390625,25445.0,25202.75,25272.900390625,501900
2024-08-12,25278.94921875,25345.099609375,25089.75,25267.150390625,401500
2024-08-13,25081.849609375,25362.349609375,25041.94921875,25330.44921875,541300
2024-08-14,25093.5,25235.849609375,25021.099609375,25169.80078125,554700
2024-08-16,25597.349609375,25635.44921875,25261.75,25344.80078125,462100
2024-08-19,25368.75,25732.099609375,25355.69921875,25732.099609375,484400
2024-08-20,25500.0,25538.44921875,25377.599609375,25480.75,493200
2024-08-21,25586.75,25597.650390625,25448.05078125,25520.55078125,318400
2024-08-22,25563.650390625,25681.5,25518.05078125,25658.44921875,305700
2024-08-23,25850.69921875,25929.05078125,25621.25,25630.80078125,525000
2024-08-26,25941.44921875,25995.75,25802.150390625,25913.5,330600
2024-08-27,25911.900390625,26026.80078125,25857.05078125,25960.69921875,387500
2024-08-28,25879.400390625,26055.599609375,25817.25,25963.25,281100
2024-08-29,26020.400390625,26117.94921875,25671.25,25858.400390625,695600
2024-08-30,26172.80078125,26245.599609375,25976.44921875,26083.30078125,627000
2024-09-02,26071.400390625,26289.349609375,25951.900390625,26289.349609375,328400
2024-09-03,26034.650390625,26141.75,26004.150390625,26140.849609375,316200
2024-09-04,25934.25,25988.55078125,25764.19921875,25869.400390625,309000
2024-09-05,25835.30078125,26016.94921875,25800.25,25987.69921875,386400
2024-09-06,25527.150390625,25893.150390625,25435.900390625,25817.650390625,323100
2024-09-09,25495.25,25523.599609375,25259.25,25499.599609375,293700
2024-09-10,25556.44921875,25627.150390625,25398.30078125,25539.5,301400
2024-09-11,25240.599609375,25456.80078125,25191.0,25406.400390625,707000
2024-09-12,25779.80078125,25818.44921875,25191.099609375,25342.55078125,572600
2024-09-13,25820.849609375,25870.69921875,25718.150390625,25832.400390625,592500
2024-09-16,25829.650390625,25915.55078125,25801.099609375,25865.80078125,393400
2024-09-17,25896.400390625,25942.900390625,25602.19921875,25903.349609375,1012600
2024-09-18,25804.44921875,26117.25,25746.349609375,25885.5,1219300
2024-09-19,25907.650390625,26105.0,25806.0,25934.849609375,700300
2024-09-20,26394.55078125,26452.05078125,25926.75,25960.5,853600
2024-09-23,26805.400390625,26825.55078125,26485.900390625,26491.25,568700
2024-09-24,26920.44921875,26966.94921875,26696.599609375,26700.80078125,495700
2024-09-25,26888.349609375,27108.44921875,26714.80078125,26872.5,425100
2024-09-26,27496.25,27526.349609375,26839.30078125,26885.44921875,1024500
2024-09-27,27610.75,27696.099609375,27382.650390625,27477.69921875,640400
2024-09-30,27027.19921875,27534.900390625,26971.05078125,27474.30078125,526600
2024-10-01,27083.44921875,27228.099609375,26971.650390625,27099.80078125,417300
2024-10-03,26302.099609375,26806.19921875,26261.55078125,26479.5,634400
2024-10-04,25926.30078125,26449.25,25850.400390625,26294.25,595000
2024-10-07,25807.150390625,26079.94921875,25544.80078125,26042.599609375,498200
2024-10-08,26236.099609375,26293.599609375,25612.44921875,25731.849609375,542800
2024-10-09,26450.25,26673.400390625,26271.0,26314.099609375,547600
2024-10-10,26528.5,26764.150390625,26392.150390625,26492.0,635800
2024-10-11,26436.599609375,26610.900390625,26381.0,26583.25,350300
2024-10-14,26463.55078125,26569.400390625,26428.05078125,26501.150390625,306300
2024-10-15,26242.599609375,26626.099609375,26028.80078125,26619.0,389600
2024-10-16,25909.0,26197.25,25783.25,26178.25,365700
2024-10-17,24991.19921875,25820.5,24959.849609375,25792.150390625,555500
2024-10-18,25146.900390625,25247.80078125,24699.349609375,24907.94921875,400400
2024-10-21,25251.849609375,25359.55078125,24777.599609375,25161.55078125,352800
2024-10-22,24627.25,25316.44921875,24583.94921875,25297.44921875,490200
2024-10-23,24451.30078125,24873.80078125,24388.0,24593.5,471300
2024-10-24,24324.849609375,24555.44921875,24257.44921875,24432.900390625,646400
2024-10-25,23799.30078125,24378.150390625,23519.80078125,24360.94921875,464200
2024-10-28,23964.44921875,24224.05078125,23664.5,23807.05078125,355400
2024-10-29,23588.599609375,24048.650390625,23264.30078125,23941.650390625,611500
2024-10-30,23594.0,23855.150390625,23423.900390625,23430.599609375,473300
2024-10-31,23514.69921875,23625.30078125,23401.849609375,23606.650390625,434600
2024-11-01,23805.599609375,23869.75,23765.900390625,23792.69921875,76300
2024-11-04,23573.19921875,24068.900390625,23258.150390625,23883.75,598100
2024-11-05,23839.599609375,23891.150390625,23462.44921875,23553.150390625,408100
