Date,Close,High,Low,Open,Volume
2023-09-13,32886.69921875,32982.3515625,32713.099609375,32943.1484375,14900
2023-09-14,33045.3984375,33240.19921875,32949.55078125,32991.44921875,24000
2023-09-15,33355.05078125,33402.75,33156.19921875,33216.8984375,31900
2023-09-18,33129.5,33266.8984375,33030.3515625,33255.1015625,14200
2023-09-20,32949.19921875,33167.30078125,32851.75,32860.8984375,16600
2023-09-21,32919.94921875,32976.8515625,32504.75,32849.8984375,20700
2023-09-22,32906.30078125,33109.6484375,32664.400390625,32799.05078125,22900
2023-09-25,32648.599609375,32960.94921875,32581.150390625,32881.3515625,15200
2023-09-26,32471.0,32693.25,32391.44921875,32675.099609375,12200
2023-09-27,32594.650390625,32651.0,32339.94921875,32439.05078125,13800
2023-09-28,31879.599609375,32623.349609375,31808.75,32616.05078125,26100
2023-09-29,31784.400390625,32020.349609375,31514.900390625,31814.650390625,22000
2023-10-03,31717.25,31852.650390625,31499.349609375,31772.75,14300
2023-10-04,31811.5,31874.69921875,31412.5,31531.349609375,16000
2023-10-05,32125.400390625,32368.44921875,31956.900390625,31995.0,21400
2023-10-06,32341.69921875,32438.400390625,32098.80078125,32251.44921875,14000
2023-10-09,32308.55078125,32638.25,32203.55078125,32216.150390625,17400
2023-10-10,32569.44921875,32616.349609375,32200.25,32423.94921875,14500
2023-10-11,32548.05078125,32981.8984375,32489.599609375,32688.69921875,24900
2023-10-12,32003.650390625,32556.5,31907.0,32474.150390625,28500
2023-10-13,31807.94921875,32024.349609375,31434.099609375,31457.5,37300
2023-10-16,31750.400390625,31949.75,31710.650390625,31831.05078125,15800
2023-10-17,31794.900390625,31938.19921875,31770.75,31884.25,13200
2023-10-18,31606.650390625,31882.44921875,31568.19921875,31778.55078125,14900
2023-10-19,31540.05078125,31667.0,31345.55078125,31345.55078125,31200
2023-10-20,31469.349609375,31605.75,31360.5,31445.44921875,17300
2023-10-23,30848.400390625,31456.099609375,30802.05078125,31358.44921875,13500
2023-10-25,30530.5,31004.19921875,30469.0,30790.349609375,16600
2023-10-26,30225.650390625,30312.44921875,30054.19921875,30184.0,28200
2023-10-27,30599.69921875,30676.94921875,30313.94921875,30328.25,15100
2023-10-30,30641.0,30698.400390625,30433.650390625,30627.900390625,11000
